Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
BEP,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
BPD,13,0,0,0,0,0,0,0,0,0,0,0,0,13,
CFPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DO,0,0,0,0,0,0,0,0,0,0,1,1,2,4,
FinCEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
IRS,3,0,0,0,0,0,0,0,0,0,0,0,0,3,
MINT,6,0,0,0,0,0,0,0,0,0,0,0,0,6,
OCC,47,31,9,5,2,1,2,0,0,0,0,0,0,97,
TIGTA,7,0,0,0,0,0,0,0,0,0,0,0,0,7,
TTB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total,77,31,9,5,2,1,2,0,0,0,1,1,2,131,
