Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,
Office of the AG,9,13,41.56,151,255,318.3,22,310,335.5,
Office of the DAG,6,40.5,44,104,372.5,385.54,17,328,343.12,
Office of the Assoc. AG,3,1,27.67,19,206,228.58,0,,,
Antitrust,0,,,52,215,250.42,0,,,
ATF,0,,,752,82,94.62,2,73,73,
BOP,1065,18,55.49,402,121,125.47,3,72,75,
Civil,2,36.5,36.5,38,64,103.39,0,,,
Civil Rights,34,21,20.85,124,228,252.35,1,12,12,
COPS,0,,,0,,,0,,,
Criminal,23,11,35.26,178,116,149.84,0,,,
CRS,0,,,0,,,0,,,
DEA,6,2.5,9,246,46,86.59,2,122.5,122.5,
ENRD,10,8.5,31.8,6,106.5,138.5,1,236,236,
EOIR,1343,8,23.23,0,,,1,1,1,
EOUSA,0,,,1481,99,165.12,2,460,460,
EOUST,1,3,3,4,5,5.5,0,,,
FBI,2261,81,131.32,793,197,234.55,12,306.5,277.75,
FCSC,0,,,0,,,0,,,
JMD,4,35.5,60.5,15,72,138.53,0,,,
NSD,25,186,159.4,126,164.5,206.83,6,62,62.5,
OCDETF,2,3,3,5,26,99,0,,,
OIG,0,,,67,80,127.93,0,,,
OIP,28,10.5,82.64,16,123.5,194.38,0,,,
OJP,5,11,8,46,75,96.96,0,,,
OLA,8,81,104.25,50,155,231.7,6,190.5,265.33,
OLC,7,31,155.86,25,156,241.44,5,95,219.8,
OLP,2,8.5,8.5,5,85,179,0,,,
OPR,8,6,123,21,237,379.1,1,63,63,
OSG,5,2,15,11,310,320.55,3,601,689,
OVW,4,3.5,5.75,0,,,0,,,
Pardon Attorney,1,4,4,0,,,0,,,
Public Affairs,0,,,21,196,172.48,5,89,119.2,
PRAO,3,4,88.33,0,,,0,,,
TAX,3,4,10.67,3,19,22.67,0,,,
USMS,192,55,86.71,3,147,128,0,,,
USNCB,5,6,5.6,0,,,0,,,
USPC,6,3.5,5.17,17,41,43.41,0,,,
Total,5071,33,82,4781,123,172,89,205,271,
