Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days
ADJ BDS,0,,,0,,,1,45,6
ALJ,0,,,4,59.5,57.3,0,,
ASP,0,,,4,265.5,202.5,0,,
BLS,0,,,2,8,8,0,,
CFO,0,,,1,256,256,0,,
EBSA,2,107.5,107.5,70,21.5,53.4,2,42,42
ETA,14,7,13.6,56,6.5,8.6,0,,
EXEC SEC,0,,,0,,,0,,
ILAB,0,,,2,321,11.5,0,,
MSHA,0,,,111,27,68.6,1,354,354
OASAM,0,,,27,99,97.7,0,,
OCIA,0,,,3,363,260.3,0,,
ODEP,0,,,0,,,0,,
OFCCP,0,,,24,23,52.8,0,,
OIG,0,,,17,79,128,0,,
OLMS,0,,,9,47,56.1,0,,
OPA,0,,,4,410.5,421.3,0,,
OSEC,0,,,5,42,51.4,0,,
OSHA,21,47,247,315,14,35.7,0,,
OWCP,1,208,208,35,18,20.4,0,,
SOL,0,,,18,18,20.4,0,,
VETS,0,,,13,15,16.7,0,,
WB,0,,,1,93,93,0,,
WHD,66,155,139.9,334,65,109.1,0,,
Total,104,124,163,1057,23,68,4,50,111
