Component,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS PROCESSED,NUMBER OF APPEALS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
FAA,70,89,117,80,
FHWA,7,10,4,8,
FMCSA,7,11,7,9,
FRA,2,2,4,2,
FTA,4,5,4,3,
MARAD,7,5,7,5,
NHTSA,5,7,4,7,
OIG,5,8,5,7,
OST,4,4,6,6,
PHMSA,4,1,2,2,
RITA,1,0,0,0,
SLSDC,0,1,0,1,
Total,116,143,160,130,
