Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
CBP,0,6,22,3,4,730,2,0,723,0,746,1,0,0,
FEMA,0,0,0,0,0,2,0,0,1,0,0,0,0,0,
ICE,2,7,21,0,23,282,9,1,282,1,228,5,0,0,
OGC,0,0,1,0,1,10,3,0,10,1,12,1,0,0,
OIG,2,3,1,0,4,17,2,0,17,3,4,1,0,0,
TSA,0,0,5,0,1,3,1,0,0,0,0,0,0,0,
USCG,2,0,1,0,4,5,2,0,1,0,0,0,0,0,
USCIS,2,0,23,3,490,645,2,0,906,0,911,0,0,0,
USSS,0,1,2,0,2,10,2,0,11,0,3,0,0,0,
Total,8,17,76,6,529,1704,23,1,1951,5,1904,8,0,0,
