Component,Number of 'Full Time FOIA Employees',Number of 'Equivalent Full-Time FOIA Employees',Total Number of 'Full-Time FOIA Staff',
Office of the AG,3,0.76,3.76,
Office of the DAG,2,0.67,2.67,
Office of the Assoc. AG,0,0.48,0.48,
Antitrust,5,1.8,6.8,
ATF,8,5,13,
BOP,17,3,20,
Civil,2,10,12,
Civil Rights,9,0,9,
COPS,1,0,1,
Criminal,15,1.96,16.96,
CRS,0,0.3,0.3,
DEA,16,0,16,
ENRD,0,1.01,1.01,
EOIR,7,3,10,
EOUSA,24.5,0,24.5,
EOUST,0,2.1,2.1,
FBI,183,4,187,
FCSC,0,0.1,0.1,
JMD,2,0.13,2.13,
NDIC,0,0.5,0.5,
NSD,2,0,2,
ODR,0,0.0025,0.0025,
OFDT,0,0.37,0.37,
OIG,1,1,2,
OIP,31,0,31,
OIPL,0,0.15,0.15,
OJP,1,1.25,2.25,
OLA,2,0.36,2.36,
OLC,0,1.5,1.5,
OLP,1,1.25,2.25,
OPR,1,0.55,1.55,
OSG,0,1,1,
OVW,0,0.05,0.05,
Pardon Attorney,0,0.75,0.75,
Public Affairs,0,0.26,0.26,
PRAO,0,0.06,0.06,
TAX,2,0.95,2.95,
USMS,6,1,7,
USNCB,1,0,1,
USPC,1,0,1,
Total,344,45,389,
