Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
BIS,12,13,1,31,0,0,0,0,0,0,0,0,
Census,19,24,3,97,0,0,0,0,0,0,0,0,
EDA,6,5,1,15,16,19,12,58,0,0,0,0,
ESA,12,16,3,35,0,0,0,0,0,0,0,0,
ITA,11,13,1,64,0,0,0,0,0,0,0,0,
MBDA,13,14,8,20,0,0,0,0,0,0,0,0,
NIST,29,48,1,240,0,0,0,0,0,0,0,0,
NOAA,9,8,1,20,57,79,21,646,8,10,5,22,
NTIA,5,13,5,22,0,0,0,0,0,0,0,0,
NTIS,12,11,8,14,0,0,0,0,1,1,1,3,
OIG,22,110,4,571,0,0,0,0,0,0,0,0,
OS,18,16,1,48,143,160,56,366,0,0,0,0,
PTO,11,14,1,318,0,0,0,0,20,20,20,20,
Total,15,19,1,571,85,125,12,646,5,7,1,22,
