Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
Admin,24,9,20,11,
BVA,15,29,16,25,
C&LA,34,48,33,34,
CFM,75,71,75,116,
GC,117,121,114,87,
HRM,12,36,23,20,
IG,369,527,360,522,
Mgmt,18,29,17,21,
NCA,60,59,50,40,
OAL,267,330,242,321,
OASHRA,10,7,6,4,
OASP&IA,16,8,8,3,
ODASB,1,0,3,0,
ODASIA,5,18,35,1,
ODI,2,2,1,1,
OIT,259,219,264,142,
ORM,29,39,30,37,
OSDBU,19,27,18,20,
OSP,5,5,5,4,
P&P,2,4,2,2,
PA,10,13,5,11,
SEC,84,98,90,97,
VBA,2995,2492,2759,2650,
VHA,24875,25525,23962,26267,
Total,29303,29716,28138,30436,
