Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
FAA,0,0,0,0,
FHWA,0,0,0,0,
FMCSA,0,0,0,0,
FRA,0,0,0,0,
FTA,0,0,0,0,
MARAD,0,0,0,0,
NHTSA,0,0,0,0,
OIG,2,9,10,1,
OST,0,2,2,0,
PHMSA,0,6,5,1,
RITA,0,0,0,0,
SLSDC,0,0,0,0,
Total,2,17,17,2,
