Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
ADJ BDS,0,0,0,0,
ALJ,0,0,0,0,
ASP,0,0,0,0,
BLS,0,0,0,0,
CFO,0,0,0,0,
EBSA,0,0,0,0,
ETA,1,2,3,0,
ILAB,0,0,0,0,
MSHA,0,0,0,0,
OASAM,0,0,0,0,
OCIA,0,0,0,0,
ODEP,0,0,0,0,
OFCCP,0,0,0,0,
OIG,0,0,0,0,
OLMS,8,52,58,2,
OPA,0,0,0,0,
OSHA,5,30,28,7,
OWCP,0,0,0,0,
SOL,0,0,0,0,
VETS,0,0,0,0,
WB,0,0,0,0,
WHD,2,4,6,0,
Total,16,88,95,9,
