Component,Description,No. of Times Used,Total
IG,0,0,0
OI&T (005),Glomar response,1,15
OI&T (005),Not a FOIA request,1,15
OI&T (005),No Consent,4,15
OI&T (005),Not a proper FOIA because not signed,6,15
OI&T (005),Referred to other VA components,3,15
VBA (20),Telephone requests,28,177
VBA (20),No address,7,177
VBA (20),E-mails/unsigned requests,142,177
VHA (10),Requestor died before completing the request,72,598
VHA (10),Subsumed by litigation,1,598
VHA (10),Glomar response,5,598
VHA (10),Publically Available Information,10,598
VHA (10),Medically sensitive records,510,598
MGMT,Records Publicly Available,1,1
Total,0,791,3597
