Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
ADJ BDS,9,14.5,3,87,45,45,45,45,79.5,70,6,115,
ALJ,5,13.3,1,212,4,19.5,1,253,1.5,1.5,1,2,
ASP,107,182.7,9,459,157,172.5,11,365,,,,,
BLS,16,19.1,1,86,20,30.7,10,88,,,,,
CFO,,,,,12,92.7,1,265,,,,,
EBSA,12,20.3,1,262,16,51.6,1,497,214,143,1,214,
ETA,6,9.3,1,72,9,15.5,1,348,14.5,14.5,10,19,
ILAB,35.5,107.8,10,331,82,104.8,15,404,,,,,
MSHA,,,,,11,22.1,1,760,376,316.2,3,710,
OASAM,26.5,36.9,3,122,31,50.7,1,576,5,5,3,7,
OCIA,,,,,58,114.1,9,630,17,17,17,17,
ODEP,,,,,20.5,35,15,99,,,,,
OFCCP,14,24.2,1,98,23,48.3,1,550,13,13,13,13,
OIG,4,9,0,100,162,182,10,558,,,,,
OLMS,11,14.6,3,28,26,39.1,1,320,3,3,2,4,
OPA,20,34.9,1,110,19,22.3,9,42,,,,,
OSEC,,,,,25.5,44.5,3,285,,,,,
OSHA,4,20.1,1,2515,8,30.8,1,1686,5.5,9.7,1,56,
OWCP,6,19.5,1,261,16,21.2,1,136,9,9,9,9,
SOL,11,13,3,25,63,97.6,1,459,67.5,67.5,44,91,
VETS,17,16.8,1,99,15,19.7,1,100,14,14.8,7,24,
WB,24,35.5,8,114,92,92,19,165,,,,,
WHD,14,50.7,1,2148,20,57,1,1833,7,17.1,2,85,
Total,7,26,1,2515,11,33,1,1833,7,45,1,710,
