Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
AF,Date of Receipt,2012-10-24,2012-09-28,2012-09-10,2012-09-07,2012-09-05,2012-08-24,2012-04-23,2011-11-14,2011-10-13,2010-12-15
AF,Number of Days Pending,233,250,264,265,267,274,361,472,493,701
AFRICOM,Date of Receipt,2011-03-14,2011-03-10,2011-02-25,2011-02-16,2011-01-19,2011-01-19,2011-01-19,2011-01-19,2011-01-19,2010-11-29
AFRICOM,Number of Days Pending,642,644,653,659,679,679,679,679,679,713
ARMY,Date of Receipt,2008-06-17,2008-06-17,2008-06-17,2008-06-17,2008-06-17,2008-06-17,2008-06-16,2008-06-16,2008-04-21,2008-02-19
ARMY,Number of Days Pending,1327,1327,1327,1327,1327,1327,1328,1328,1367,1411
CENTCOM,Date of Receipt,2013-04-03,2013-03-01,2013-02-27,2013-02-08,2013-01-24,2012-10-01,2012-07-25,2012-06-15,2012-05-22,2012-04-12
CENTCOM,Number of Days Pending,125,148,150,162,173,249,296,323,340,368
DIA,Date of Receipt,2008-05-21,2007-11-06,2007-08-24,2007-06-12,2006-11-13,2006-09-25,2006-08-01,2006-06-19,2006-06-02,2006-04-05
DIA,Number of Days Pending,1345,1479,1529,1581,1725,1758,1796,1826,1837,1878
DISA,Date of Receipt,,,,,,,,2013-04-11,2013-02-15,2013-02-15
DISA,Number of Days Pending,,,,,,,,119,157,157
DTRA,Date of Receipt,,,,,,,,,,2013-09-04
DTRA,Number of Days Pending,,,,,,,,,,18
EUCOM,Date of Receipt,,2013-08-09,2013-04-10,2013-03-28,2011-01-21,2011-01-05,2010-08-05,2009-06-16,2009-06-06,2008-07-31
EUCOM,Number of Days Pending,,35,120,129,677,688,791,1077,1083,1296
NAVY,Date of Receipt,2012-10-01,2012-06-07,2012-05-04,2012-02-24,2012-01-12,2011-06-24,2011-05-11,2011-02-17,2010-05-10,2010-04-29
NAVY,Number of Days Pending,249,329,352,402,431,569,600,658,852,859
NGA,Date of Receipt,2012-12-03,2012-12-03,2012-11-30,2012-06-20,2012-06-13,2012-03-20,2011-12-29,2011-12-29,2011-09-20,2011-07-14
NGA,Number of Days Pending,207,207,208,320,325,385,440,440,509,556
NORTHCOM,Date of Receipt,,,,,,,,,2013-04-16,2012-03-20
NORTHCOM,Number of Days Pending,,,,,,,,,0,0
NRO,Date of Receipt,2013-05-31,2013-05-31,2013-05-17,2013-04-30,2013-04-30,2013-04-20,2013-02-22,2013-01-31,2013-01-15,2012-06-14
NRO,Number of Days Pending,84,84,93,106,106,112,153,168,179,324
NSA,Date of Receipt,2010-11-19,2010-11-19,2010-11-19,2010-11-19,2010-11-19,2010-11-19,2010-10-20,2010-10-07,2009-07-28,2008-09-12
NSA,Number of Days Pending,718,718,718,718,718,718,739,747,1048,1266
OSD/JS,Date of Receipt,2006-08-23,2006-07-25,2005-10-20,2005-06-30,2004-12-29,2004-12-16,2004-10-06,2004-08-31,2004-08-25,2004-07-08
OSD/JS,Number of Days Pending,1780,1801,1991,2068,2195,2203,2251,2276,2280,2314
PACOM,Date of Receipt,2013-08-20,2013-06-27,2013-04-26,2013-03-27,2013-03-20,2013-03-18,2013-02-11,2009-08-27,2009-08-03,2009-01-20
PACOM,Number of Days Pending,28,65,108,130,135,137,161,1026,1044,1179
SOCOM,Date of Receipt,2012-07-18,2012-07-12,2011-12-21,2011-12-15,2011-09-13,2011-08-18,2011-05-03,2011-01-04,2010-11-23,2007-06-20
SOCOM,Number of Days Pending,301,305,446,450,514,531,606,689,716,1575
SOUTHCOM,Date of Receipt,2013-04-23,2013-04-23,2013-04-11,2012-10-23,2012-08-01,2012-08-01,2012-07-24,2011-11-02,2011-01-01,2010-03-03
SOUTHCOM,Number of Days Pending,111,111,119,234,291,291,297,479,690,900
STRATCOM,Date of Receipt,,,,,,2013-09-06,2013-07-31,2013-05-23,2013-04-09,2012-12-18
STRATCOM,Number of Days Pending,,,,,,16,42,89,121,196
TRANSCOM,Date of Receipt,,,,,,,,,,2012-06-21
TRANSCOM,Number of Days Pending,,,,,,,,,,319
TRICARE,Date of Receipt,,,,,,,,,,2013-07-08
TRICARE,Number of Days Pending,,,,,,,,,,59
