Component,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Request in Litigation,Appeal Based Solely on Denial for Expedited Processing,Other,
ALJ,0,0,0,1,0,0,0,0,0,0,0,
BLS,0,0,0,0,0,0,0,0,0,0,1,
EBSA,0,0,0,0,0,1,0,0,0,0,2,
ETA,0,0,0,0,0,0,0,0,0,0,11,
MSHA,0,0,1,0,0,1,0,0,0,0,2,
OASAM,0,0,0,0,0,0,0,0,0,0,2,
OFCCP,0,0,0,0,0,1,0,0,0,0,0,
OIG,0,0,1,0,0,0,0,0,0,0,0,
OLMS,0,0,1,0,0,0,0,1,0,0,0,
OSHA,1,0,9,2,0,4,0,4,0,0,13,
OWCP,2,0,2,1,0,55,0,6,0,0,93,
VETS,2,0,0,0,0,2,0,0,0,0,2,
WHD,1,0,3,0,0,3,0,0,0,0,1,
Total,6,0,17,4,0,67,0,11,0,0,127,
