Component,Number of Backlogged Requests as of the End of Fiscal Year,Number of Backlogged Appeals as of End of Fiscal Year,
Office of the AG,321,N/A,
Office of the DAG,228,N/A,
Office of the Assoc. AG,51,N/A,
Antitrust,40,N/A,
ATF,1610,N/A,
BOP,624,N/A,
Civil,22,N/A,
Civil Rights,180,N/A,
COPS,0,N/A,
Criminal,130,N/A,
CRS,1,N/A,
DEA,244,N/A,
ENRD,5,N/A,
EOIR,768,N/A,
EOUSA,1876,N/A,
EOUST,1,N/A,
FBI,2614,N/A,
FCSC,0,N/A,
JMD,50,N/A,
NSD,110,N/A,
OCDETF,2,N/A,
OIG,32,N/A,
OIP,54,270,
OJP,99,N/A,
OLA,114,N/A,
OLC,49,N/A,
OLP,12,N/A,
OPR,4,N/A,
OSG,32,N/A,
OVW,3,N/A,
Pardon Attorney,28,N/A,
Public Affairs,47,N/A,
PRAO,0,N/A,
TAX,5,N/A,
USMS,370,N/A,
USNCB,3,N/A,
USPC,15,2,
Total,9744,272,
