Component,Description,No. of Times Used,Total
OIG,N/A,0,0
OIG,N/A,0,0
OIG,Opened in Error,8,8
HQ,N/A,0,0
OGC,N/A,0,0
ARC,Publicly Available Information,3,3
GRC,Publicly Available Information,1,1
GSFC,Publicly Available Information,1,1
JSC,Publicly Available Information,3,3
LaRC,Publicly Available Information,2,2
MSFC,N/A,0,0
JPL,Publicly Available Information,1,1
NSSC,N/A,0,0
OIG,N/A,0,0
SSC,Publicly Available Information,1,1
KSC,Publicly Available Information,4,4
OGC,N/A,0,0
OIG,N/A,0,0
OIG,Unable to locate requester,2,5
OIG,Opened in Error,3,5
OIG,Assigned to other bureau/office for response,1,8
OIG,Requester failed to provide requested clarification,4,8
OIG,Publicly Available Information,1,8
OIG,Request administratively closed,2,8
OIG,N/A,0,0
OGC,N/A,0,0
OIG,N/A,0,0
HQ,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
OGC,N/A,0,0
HQ,Request Opened in Error,240,241
HQ,Litigation,1,241
OIG,Request Opened in Error,8,8
HQ,Publicly Available Information,10,10
HQ,N/A,0,0
OGC,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
AFRC,N/A,0,0
Total,0,296,566
