Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
ACF,730,120,1,1465,515,37,15,1029,30,22,1,60,
AOA,0,4,4,4,0,0,0,0,0,0,0,0,
CMS,10,20,1,519,125,237,2,1596,54,107,3,460,
OIG,2,5,1,23,23,31,1,170,0,0,0,0,
AHRQ,10,19,7,79,41,52,1,207,0,0,0,0,
CDC,40,50.5,,155,52,88.43,,1000,0,0,0,0,
FDA,9,48.6,1,1305,164,249.7,1,1760,53,64.3,31,109,
HRSA,0,0,0,0,15,17,1,344,0,0,0,0,
IHS,25,24,15,30,80,75,30,140,0,0,0,0,
NIH,14,24,1,459,0,0,0,0,0,0,0,0,
SAMHSA,6,10,1,45,130,208,58,338,0,0,0,0,
OS,0,0,0,0,38,162,1,1309,0,0,0,0,
OASH,25,33,1,174,171,276,41,925,0,0,0,0,
Total,275,98,0,1465,171,198,0,1760,50,63,1,460,
