Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
AMS,13,6,6,6,3,3,4,2,1,0,2,1,1,48,
APHIS,3,1,4,2,1,1,0,2,0,1,1,4,5,25,
ASCR,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
DM,2,1,0,0,0,0,0,0,0,0,0,0,0,3,
FAS,21,0,0,0,0,0,0,0,0,0,0,0,0,21,
FNCS,23,9,2,2,0,0,0,0,0,0,1,0,0,37,
FS,198,135,62,41,11,18,9,9,5,2,10,0,1,501,
FSA,416,108,60,25,5,1,2,1,3,1,0,0,0,622,
FSIS,10,14,4,6,3,3,5,9,2,12,38,25,52,183,
GIPSA,1,4,7,2,2,0,2,0,0,0,0,0,0,18,
NAD,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
NRCS,11,3,3,1,1,1,2,0,0,0,0,0,1,23,
OBPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCFO,5,1,0,0,0,0,0,0,0,0,0,0,0,6,
OGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OIG,0,10,10,6,8,5,2,0,0,0,0,0,0,41,
OSEC/OCIO,6,3,2,4,2,1,2,1,1,1,0,11,1,35,
RD,0,0,1,4,3,0,1,1,0,2,3,2,1,18,
REE,3,73,29,4,2,0,0,0,0,0,0,0,0,111,
RMA,0,2,0,0,0,0,0,0,0,0,0,0,0,2,
Total,712,370,190,104,41,34,29,25,12,19,55,43,62,1696,
