Component,Number of Backlogged Requests as of End of Fiscal Year from Previous Annual Report,Nnumber of Backlogged Requests as of End of Fiscal Year from Current Annual Report,
AF,509,654,
AFRICOM,29,41,
ARMY,625,515,
ASBCA,0,0,
CENTCOM,205,177,
DCAA,0,0,
DCMA,49,37,
DeCA,0,0,
DFAS,8,13,
DIA,1132,809,
DISA,20,30,
DLA,23,1,
DoD IG,252,426,
DoDEA,1,0,
DSS,8,5,
DTIC,3,15,
DTRA,39,30,
EUCOM,37,35,
JPRA,1,0,
NAVY,1202,1163,
NGA,73,51,
NGB,17,45,
NORTHCOM,16,11,
NRO,33,48,
NSA,597,805,
OSD/JS,1097,1183,
PACOM,33,84,
SOCOM,148,169,
SOUTHCOM,170,188,
STRATCOM,1,11,
TRANSCOM,34,34,
TRICARE,10,13,
Total,6372,6593,
