Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
"42 U.S.C. § 2000e-5(b), 2000e-8(e)(Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment discrimination practices; information obtained by the EEOC in theinvestigation of charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC,"EEOC v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); and Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",0,ATLANTA,2826
"42 U.S.C. § 2000e-5(b), 2000e-8(e)(Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment discrimination practices; information obtained by the EEOC in theinvestigation of charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC,"EEOC v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); and Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",339,BIRMINGHAM,2826
"42 U.S.C. § 2000e-5(b), 2000e-8(e)(Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment discrimination practices; information obtained by the EEOC in theinvestigation of charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC,"EEOC v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); and Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",29,CHARLOTTE,2826
"42 U.S.C. § 2000e-5(b), 2000e-8(e)(Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment discrimination practices; information obtained by the EEOC in theinvestigation of charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC,"EEOC v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); and Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",136,CHICAGO,2826
"42 U.S.C. § 2000e-5(b), 2000e-8(e)(Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment discrimination practices; information obtained by the EEOC in theinvestigation of charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC,"EEOC v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); and Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",374,DALLAS,2826
"42 U.S.C. § 2000e-5(b), 2000e-8(e)(Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment discrimination practices; information obtained by the EEOC in theinvestigation of charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC,"EEOC v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); and Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",50,HOUSTON,2826
"42 U.S.C. § 2000e-5(b), 2000e-8(e)(Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment discrimination practices; information obtained by the EEOC in theinvestigation of charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC,"EEOC v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); and Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",84,INDIANAPOLIS,2826
"42 U.S.C. § 2000e-5(b), 2000e-8(e)(Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment discrimination practices; information obtained by the EEOC in theinvestigation of charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC,"EEOC v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); and Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",262,LOS ANGELES,2826
"42 U.S.C. § 2000e-5(b), 2000e-8(e)(Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment discrimination practices; information obtained by the EEOC in theinvestigation of charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC,"EEOC v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); and Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",98,MEMPHIS,2826
"42 U.S.C. § 2000e-5(b), 2000e-8(e)(Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment discrimination practices; information obtained by the EEOC in theinvestigation of charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC,"EEOC v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); and Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",237,MIAMI,2826
