Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days
CBP,11628,84,92.08,84,61,59.62,0,,
CRCL,0,,,3,21,20,0,,
FEMA,149,237,320.97,117,63,129.62,0,,
FLETC,12,12.5,14.25,0,,,0,,
I&A,0,,,4,37,49.75,0,,
ICE,2783,32,31,120,29,75,0,,
MGMT,0,,,20,44.5,54.05,0,,
NPPD,2265,23,24.69,49,45,44.37,0,,
OGC,0,,,7,212,138.57,0,,
OIG,2,8,8,21,40,66.05,0,,
OPS,0,,,0,,,0,,
PLCY,0,,,0,,,0,,
PRIV,10,5,5.1,41,15,28.2,0,,
S&T,0,,,0,,,0,,
TSA,20,11.5,11,542,212.5,269.17,1,604,604
USCG,109,7,10.08,799,175,228.5,0,,
USCIS,942,27,46,14734,34,40,0,,
USSS,94,11,11.87,774,170,308.66,1,397,397
Total,18021,45,72,16918,37,69,2,501,501
