Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
Office of the AG,Date of Receipt,,,,,,,,,,2013-07-29
Office of the AG,Number of Days Pending,,,,,,,,,,44
Office of the DAG,Date of Receipt,,,,,,,,,,2013-07-29
Office of the DAG,Number of Days Pending,,,,,,,,,,44
Civil,Date of Receipt,,,,,,,,,2012-08-17,2011-08-03
Civil,Number of Days Pending,,,,,,,,,279,541
Criminal,Date of Receipt,2013-03-12,2013-03-05,2013-03-05,2013-03-05,2013-02-26,2013-02-25,2012-10-09,2012-10-01,2012-08-30,2012-08-28
Criminal,Number of Days Pending,141,146,146,146,151,152,244,249,270,272
DEA,Date of Receipt,2013-09-27,2013-09-27,2013-09-27,2013-09-23,2013-09-10,2013-08-26,2013-08-20,2013-08-05,2013-07-31,2013-05-28
DEA,Number of Days Pending,1,1,1,5,14,24,28,39,42,87
ENRD,Date of Receipt,,,,,,,,,,2013-09-18
ENRD,Number of Days Pending,,,,,,,,,,8
EOUSA,Date of Receipt,,2013-09-09,2013-08-26,2013-08-16,2013-08-15,2013-06-06,2013-04-17,2013-04-11,2013-03-15,2013-02-27
EOUSA,Number of Days Pending,,15,24,30,31,80,115,119,138,150
FBI,Date of Receipt,2012-06-13,2012-05-07,2012-04-03,2012-03-06,2012-03-05,2012-03-05,2012-01-24,2011-12-22,2011-12-22,2011-12-22
FBI,Number of Days Pending,325,351,375,395,396,396,424,444,444,444
OIP,Date of Receipt,,,,,,,,,2013-09-19,2013-08-21
OIP,Number of Days Pending,,,,,,,,,7,27
OJP,Date of Receipt,,,,,,,,,,2013-06-20
OJP,Number of Days Pending,,,,,,,,,,70
OSG,Date of Receipt,,,,,,,,,2013-08-21,2013-03-05
OSG,Number of Days Pending,,,,,,,,,27,146
