Component,Number of 'Full Time FOIA Employees',Number of 'Equivalent Full-Time FOIA Employees',Total Number of 'Full-Time FOIA Staff',
ADJ BDS,0,0.4,0.4,
ALJ,0,0.81,0.81,
ASP,0,0.7,0.7,
BLS,0,0.45,0.45,
CFO,0,0.3,0.3,
EBSA,0,3.45,3.45,
ETA,4,9.83,13.83,
EXEC SEC,0,0.15,0.15,
ILAB,0,0.1,0.1,
MSHA,6,17,23,
OASAM,0,5.83,5.83,
OCIA,0,0.4,0.4,
ODEP,0,0.5,0.5,
OFCCP,0,5.8,5.8,
OIG,1,0,1,
OLMS,0,1,1,
OPA,0,0.5,0.5,
OSEC,0,0.1,0.1,
OSHA,3,57.78,60.78,
OWCP,2,2.75,4.75,
SOL,13,2.61,15.61,
VETS,1,1.33,2.33,
WB,0,0.25,0.25,
WHD,9,3,12,
Total,39,115,154,
