Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
CBP,0,8,10,5,5,350,3,0,346,0,344,3,0,0,
FEMA,0,0,0,2,1,5,0,0,1,0,0,0,0,0,
ICE,0,3,21,2,31,129,2,0,103,0,88,0,0,0,
OGC,0,0,3,2,3,9,7,0,11,0,15,0,0,0,
OIG,0,0,0,0,2,10,0,0,17,0,0,0,0,0,
TSA,0,2,4,0,3,10,1,0,2,0,0,0,0,0,
USCG,0,0,1,2,4,10,2,0,4,0,1,0,0,0,
USCIS,0,6,10,3,541,637,1,0,876,0,871,0,0,0,
USSS,0,0,0,0,0,2,0,0,2,0,0,0,0,0,
Total,0,19,49,16,590,1162,16,0,1362,0,1319,3,0,0,
