Component,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS PROCESSED,NUMBER OF APPEALS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
OCTAE,0,0,0,0,
OM-OCPO,5,9,1,1,
OSHS,0,0,0,0,
FSA,11,7,6,12,
IES,0,2,0,0,
IES-NAGB,0,0,0,0,
M,3,2,1,0,
OCFO,0,0,0,0,
OCFO-CAM,0,0,0,0,
OCIO,0,0,0,0,
OCO,0,0,0,0,
OCR,4,2,1,5,
OCR-1 Boston,2,0,0,2,
OCR-2 New York,3,3,1,4,
OCR-3 Philadelphia,1,3,2,4,
OCR-4 Atlanta,3,2,1,3,
OCR-5 Chicago,6,5,4,7,
OCR-6 Dallas,3,3,0,6,
OCR-7 Kansas City,0,3,0,1,
OCR-8 Denver,0,0,0,0,
OCR-9 San Francisco,1,3,0,3,
OCR-10 Seattle,4,0,1,4,
OCR-12 Cleveland,2,0,0,3,
OCR-Metro D.C.,1,2,0,5,
ODS,0,0,0,0,
OESE,1,1,0,2,
OGC,0,1,0,0,
OIG,8,0,9,0,
OII,0,0,0,0,
OLCA,0,0,0,0,
OM,0,1,0,1,
OPE,0,0,0,0,
OPEPD,0,1,0,0,
OS,0,0,0,0,
OSERS,0,0,0,0,
OUS,0,0,0,0,
Total,58,50,27,63,
