Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year,
ACF,374,328,146,546,
AOA,0,15,14,1,
CMS,7945,43792,41260,10477,
OIG,0,124,109,15,
OPHS,159,465,328,296,
AHRQ,7,61,63,5,
CDC,404,1539,1357,586,
FDA,17484,9432,20348,6568,
HRSA,26,305,303,28,
IHS,36,77,64,49,
NIH,170,1146,1164,152,
SAMHSA,25,133,107,51,
OS,1124,882,1320,686,
Total,27754,58299,66583,19460,
