Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
38 U.S.C. 5701,Records pertaining to any claim filed with the Department for names and addresses of present and former members of the Armed Forces and their dependents,"Ashton v. VA, 1999 U.S. App. LEXIS 22957 (2d Cir. 1999)",0,NCA,2022
38 U.S.C. 5701,Records pertaining to any claim filed with the Department for names and addresses of present and former members of the Armed Forces and their dependents,"Ashton v. VA, 1999 U.S. App. LEXIS 22957 (2d Cir. 1999)",2,VACO,2022
38 U.S.C. 5701,Records pertaining to any claim filed with the Department for names and addresses of present and former members of the Armed Forces and their dependents,"Ashton v. VA, 1999 U.S. App. LEXIS 22957 (2d Cir. 1999)",552,VBA,2022
38 U.S.C. 5701,Records pertaining to any claim filed with the Department for names and addresses of present and former members of the Armed Forces and their dependents,"Ashton v. VA, 1999 U.S. App. LEXIS 22957 (2d Cir. 1999)",1468,VHA,2022
38 U.S.C. 5705,Records created as part of a medical quality assurance program,"Schulte & Sun-Sentinel Co. v. VA, No. 86-6251, slip op. at 3-4 (S.D. Fla. Feb. 2, 1996)",0,NCA,60
38 U.S.C. 5705,Records created as part of a medical quality assurance program,"Schulte & Sun-Sentinel Co. v. VA, No. 86-6251, slip op. at 3-4 (S.D. Fla. Feb. 2, 1996)",10,VACO,60
38 U.S.C. 5705,Records created as part of a medical quality assurance program,"Schulte & Sun-Sentinel Co. v. VA, No. 86-6251, slip op. at 3-4 (S.D. Fla. Feb. 2, 1996)",0,VBA,60
38 U.S.C. 5705,Records created as part of a medical quality assurance program,"Schulte & Sun-Sentinel Co. v. VA, No. 86-6251, slip op. at 3-4 (S.D. Fla. Feb. 2, 1996)",50,VHA,60
38 U.S.C. 7332,"Records of the identity, diagnosis, prognosis, or treatment of any patient or subject which are maintained in connection with the performance of any program or activity relating to drug abuse, alcoholism, or alcohol abuse, infection with the human immunodeficiency virus (HIV) or sickle cell anemia.","Palmer v. Derwinski, No. 91-197, slip op. at 3-4 (E.D. Ky, June 10, 1992)",0,NCA,1932
38 U.S.C. 7332,"Records of the identity, diagnosis, prognosis, or treatment of any patient or subject which are maintained in connection with the performance of any program or activity relating to drug abuse, alcoholism, or alcohol abuse, infection with the human immunodeficiency virus (HIV) or sickle cell anemia.","Palmer v. Derwinski, No. 91-197, slip op. at 3-4 (E.D. Ky, June 10, 1992)",2,VACO,1932
38 U.S.C. 7332,"Records of the identity, diagnosis, prognosis, or treatment of any patient or subject which are maintained in connection with the performance of any program or activity relating to drug abuse, alcoholism, or alcohol abuse, infection with the human immunodeficiency virus (HIV) or sickle cell anemia.","Palmer v. Derwinski, No. 91-197, slip op. at 3-4 (E.D. Ky, June 10, 1992)",8,VBA,1932
38 U.S.C. 7332,"Records of the identity, diagnosis, prognosis, or treatment of any patient or subject which are maintained in connection with the performance of any program or activity relating to drug abuse, alcoholism, or alcohol abuse, infection with the human immunodeficiency virus (HIV) or sickle cell anemia.","Palmer v. Derwinski, No. 91-197, slip op. at 3-4 (E.D. Ky, June 10, 1992)",1922,VHA,1932
41 U.S.C. 253b(m),Prohibits the release of contractor proposals submitted to an agency during the course of federal procurements of property or services,"Hornbostel v. Department of Interior, 305 F.Supp.2d 21, 30 (D.D.C. 2003)",0,NCA,27
41 U.S.C. 253b(m),Prohibits the release of contractor proposals submitted to an agency during the course of federal procurements of property or services,"Hornbostel v. Department of Interior, 305 F.Supp.2d 21, 30 (D.D.C. 2003)",5,VACO,27
41 U.S.C. 253b(m),Prohibits the release of contractor proposals submitted to an agency during the course of federal procurements of property or services,"Hornbostel v. Department of Interior, 305 F.Supp.2d 21, 30 (D.D.C. 2003)",0,VBA,27
41 U.S.C. 253b(m),Prohibits the release of contractor proposals submitted to an agency during the course of federal procurements of property or services,"Hornbostel v. Department of Interior, 305 F.Supp.2d 21, 30 (D.D.C. 2003)",22,VHA,27
35 U.S.C. 205,Protects patient records,NA,0,NCA,3
35 U.S.C. 205,Protects patient records,NA,0,VACO,3
35 U.S.C. 205,Protects patient records,NA,0,VBA,3
35 U.S.C. 205,Protects patient records,NA,3,VHA,3
