Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
41 U.S.C. 253b(m),Technical proposal not incorporated into a final contract,"Center for Pub. Integrity v. Department of Energy, 191 F.Supp.2d 187 (D.D.C. 2002).",8,OS,50
41 U.S.C. 253b(m),Technical proposal not incorporated into a final contract,"Center for Pub. Integrity v. Department of Energy, 191 F.Supp.2d 187 (D.D.C. 2002).",3,NIH,50
41 U.S.C. 253b(m),Technical proposal not incorporated into a final contract,"Center for Pub. Integrity v. Department of Energy, 191 F.Supp.2d 187 (D.D.C. 2002).",15,FDA,50
41 U.S.C. 253b(m),Technical proposal not incorporated into a final contract,"Center for Pub. Integrity v. Department of Energy, 191 F.Supp.2d 187 (D.D.C. 2002).",7,CMS,50
41 U.S.C. 253b(m),Technical proposal not incorporated into a final contract,"Center for Pub. Integrity v. Department of Energy, 191 F.Supp.2d 187 (D.D.C. 2002).",2,OPHS/PSC,50
41 U.S.C. 253b(m),Technical proposal not incorporated into a final contract,"Center for Pub. Integrity v. Department of Energy, 191 F.Supp.2d 187 (D.D.C. 2002).",14,CDC,50
41 U.S.C. 253b(m),Technical proposal not incorporated into a final contract,"Center for Pub. Integrity v. Department of Energy, 191 F.Supp.2d 187 (D.D.C. 2002).",1,HRSA,50
42 U.S.C. 242m(d) (Public Health Service Act 308(d)),Identifiable information for certain research and statistical activities.,,2,CDC,2
42 U.S.C. 300aa-12(d)(4)(A),Medical records presented to a Special Master in National Vaccine Injury Compensation Program court proceedings,"Poling ex rel. Poling v. Secretary of HHS, No. 02-1466V, 2008 WL 1883059 (Fed. Cl. Apr. 10, 2008",3,HRSA,3
42 U.S.C. 11137 (b),Adverse reports of a health practitioner's conduct,,1,HRSA,1
21 U.S.C. 331(j),Trade Secrets,"Anderson v. Department of Health & human Servs., 907 F.2d 936 (10th Cir. 1990)",6,AOA,41
21 U.S.C. 331(j),Trade Secrets,"Anderson v. Department of Health & human Servs., 907 F.2d 936 (10th Cir. 1990)",35,FDA,41
21 U.S.C. 350d(a)(4),Food Registration Documents,,1,FDA,1
5 U.S.C. app. 107(a) (Ethics in Government Act of 1978),Financial disclosure information pertaining to certain government employees,"Concepcion v. FBI, 606 F. Supp. 2d 14, 33 (D.D.C. 2009).",2,CDC,5
5 U.S.C. app. 107(a) (Ethics in Government Act of 1978),Financial disclosure information pertaining to certain government employees,"Concepcion v. FBI, 606 F. Supp. 2d 14, 33 (D.D.C. 2009).",3,NIH,5
42 U.S.C. 262a(h)(1)(C),Bioterrorism-related information,,1,OS,4
42 U.S.C. 262a(h)(1)(C),Bioterrorism-related information,,3,CDC,4
18 U.S.C. 208,Financial disclosure forms/personal financial interest.,,4,FDA,4
41 U.S.C. 423,Information that would identify organizations who have submitted proposals prior to the issuance of an award and the disclosure of unfunded grant applications,"Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum)",5,CDC,5
"5 U.S.C. 7114(b)(4), 7132 (Civil Service Reform Act)",Pen Register Information,"NTEU v. OPM, No. 76-695, slip op. at 3-4 (D.D.C. July 9, 1979) (5 U.S.C. 7114(b)(4) and 5 U.S.C. 7132).",1,SAMHSA,1
15 U.S.C. 3710a(c) (Federal Technology Transfer Act),"Trade secrets or commercial or financial information that is privileged or confidential, under the meaning of section 552(b)(4) of Title 5, which is obtained in the conduct of research or as a result of activities under this chapter,? which pertains to cooperative research and development agreements for the purpose of technological and industrial innovation.","Pub. Citizen Health Research Group v. NIH, 209 F.Supp. 2d 37, 43, 51 (DDC 2002); DeLorme Pub. Co., Inc. v. NOAA, 917 F.Supp. 867, 871-72 (D.ME. 19960, appeal dismissed per stipulation, No. 96-1601 (1st Cir. July 8, 1996).",1,NIH,1
42 U.S.C. 299c-3(c) and (d) (Public Health Service Act),Raw research data in HCUP database,None,2,AHRQ,2
