Component,Description,No. of Times Used,Total
OIG,N/A,0,0
OIG,N/A,0,0
OIG,Opened in Error,8,8
OIG,N/A,0,0
OS,Publicly Available Information,13,14
OS,Request Opened in Error,1,14
OIG,N/A,0,0
OIG,Unable to locate requester,2,5
OIG,Opened in Error,3,5
OIG,Publicly Available Information,1,8
OIG,Request administratively closed,2,8
OIG,Assigned to other bureau/office for response,1,8
OIG,Requester failed to provide requested clarification,4,8
OS,Assigned to other bureau/office for response,24,77
OS,Requester failed to provide requested clarification,5,77
OS,Directed Requester to Another Entity Subject to the FOIA,17,77
OS,Request administratively closed,6,77
OS,Unable to locate requester,1,77
OS,Publicly Available Information,21,77
OS,Request Opened in Error,3,77
OIG,N/A,0,0
OIG,N/A,0,0
OS,N/A,0,0
CMS,Duplicate request closed after resolving system operating deficiencies.,1175,1175
OIG,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
OIG,Request Opened in Error,8,8
OIG,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
Total,0,1295,1800
