Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
FAA,6453433,77674,6531107,255412.92,3.96%,
FHWA,414235,0,414235,12885.18,3.11%,
FMCSA,731525,0,731525,16056.13,2.19%,
FRA,226384,0,226384,2314.5,1.02%,
FTA,277500,0,277500,0,0.0%,
MARAD,437017,17820,454837,5577.74,1.28%,
NHTSA,490359,0,490359,13342.05,2.72%,
OIG,199075,0,199075,0,0.0%,
OST,520497,0,520497,3217.3,0.62%,
PHMSA,254036,6595,260631,5114,2.01%,
RITA,312580,0,312580,108,0.03%,
SLSDC,12201,0,12201,0,0.0%,
Total,10328842,102089,10430931,314028,N/A,
