Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,
Office of the AG,0,0,N/A,N/A,
Office of the DAG,0,0,N/A,N/A,
Office of the Assoc. AG,0,0,N/A,N/A,
Antitrust,0,4,1,1,
ATF,7,1,1,1,
BOP,3,454,1,1,
Civil,0,3,2,2,
Civil Rights,0,1,16,16,
COPS,0,0,N/A,N/A,
Criminal,0,0,N/A,N/A,
CRS,0,0,N/A,N/A,
DEA,3,23,1,1,
ENRD,0,2,10,10,
EOIR,35,11,1,3,
EOUSA,0,22,1,2.9,
EOUST,0,0,N/A,N/A,
FBI,86,351,36,103,
FCSC,0,0,N/A,N/A,
JMD,0,0,N/A,N/A,
NDIC,0,0,N/A,N/A,
NSD,3,7,15,13.2,
ODR,0,0,N/A,N/A,
OFDT,0,0,N/A,N/A,
OIG,1,0,8,8,
OIP,0,11,2,2,
OIPL,0,0,N/A,N/A,
OJP,0,0,N/A,N/A,
OLA,0,0,N/A,N/A,
OLC,0,0,N/A,N/A,
OLP,0,0,N/A,N/A,
OPR,0,0,N/A,N/A,
OSG,0,0,N/A,N/A,
OVW,0,0,N/A,N/A,
Pardon Attorney,0,0,N/A,N/A,
Public Affairs,0,0,N/A,N/A,
PRAO,0,0,N/A,N/A,
TAX,0,0,N/A,N/A,
USMS,1,7,3,5,
USNCB,0,0,N/A,N/A,
USPC,0,0,N/A,N/A,
Total,139,897,N/A,N/A,
