Component,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS PROCESSED,NUMBER OF APPEALS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
BEP,0,2,0,2,
BPD,0,4,0,4,
DO,23,25,22,13,
FinCEN,14,14,13,14,
FMS,6,12,7,12,
IRS,184,239,178,235,
MINT,3,5,3,5,
OCC,47,22,54,27,
TIGTA,23,35,25,34,
TTB,1,0,1,0,
Total,301,358,303,346,
