Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
CBP,6725,2626,2956,1251,595,169,9,6,7,3,5,9,1,14362,
CRCL,4,2,2,0,0,1,0,0,0,0,0,0,0,9,
FEMA,30,37,26,27,32,27,31,20,12,12,68,25,52,399,
FLETC,87,29,13,8,3,6,3,3,5,12,0,0,0,169,
I&A,14,6,3,0,0,0,0,0,0,0,0,0,0,23,
ICE,6114,653,75,39,25,9,5,2,3,3,2,0,0,6930,
MGMT,111,12,0,0,0,0,0,0,0,0,0,0,0,123,
NPPD,37,33,13,3,5,0,0,0,0,0,0,0,0,91,
OGC,9,8,0,1,0,0,3,2,0,1,2,2,0,28,
OIG,99,13,2,0,0,0,0,0,0,0,0,0,0,114,
OPS,18,0,0,0,0,0,0,0,0,0,0,0,0,18,
PLCY,5,0,0,0,0,0,0,0,0,0,0,0,0,5,
PRIV,761,4,1,0,0,0,0,0,0,0,0,0,0,766,
S&T,30,9,1,0,0,0,0,0,0,0,0,0,0,40,
TSA,69,21,10,3,2,2,1,3,0,3,1,0,0,115,
US-VISIT,683,946,21,3,1,1,1,0,1,0,0,0,0,1657,
USCG,2300,509,144,48,35,12,13,6,8,3,12,1,0,3091,
USCIS,4280,7651,4703,1559,1212,144,81,64,38,34,99,69,719,20653,
USSS,61,0,0,0,0,0,0,0,0,0,0,0,0,61,
Total,21437,12559,7970,2942,1910,371,147,106,74,71,189,106,772,48654,
