Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
Admin,63,24,94,20,
BVA,17,16,16,16,
C&LA,52,34,55,33,
CFM,80,75,63,75,
GC,64,117,62,114,
HRM,10,12,4,23,
IG,292,369,297,360,
Mgmt,7,18,9,16,
NCA,133,62,148,39,
OAL,215,267,242,242,
OASHRA,5,10,2,5,
OASP&IA,4,16,1,8,
ODASB,2,1,2,3,
ODASIA,31,5,0,35,
ODI,1,2,1,1,
OF,13,21,14,20,
OIT,221,259,206,255,
ORM,21,29,22,30,
OSDBU,10,19,12,18,
OSP,7,5,7,5,
P&P,2,2,3,2,
PA,1,9,0,4,
SEC,71,84,51,89,
VBA,3358,2107,3053,2655,
VHA,21903,24446,22321,23914,
Total,26583,28009,26685,27982,
