Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days
BPA,1,12,12,25,378,335,0,,
CBFO,5,167,157,2,202,202,0,,
CH,2,6,6,2,92,92,0,,
EMCBC,9,113,140,4,34.5,115,0,,
GFO,8,5,5,0,,,0,,
HQ,128,24,134,26,405,547,0,,
ID,2,11,11,0,,,0,,
NETL,3,65,187,0,,,0,,
NNSA,2,482,482,186,198,428,0,,
NR,0,,,0,,,0,,
NRLFO,0,,,0,,,0,,
ORO,4,14,19,2,18,18,0,,
OSTI,5,535,538,0,,,0,,
ROO,3,14,31,0,,,0,,
SEPA,0,,,0,,,0,,
SPR,1,3,3,0,,,0,,
SRO,4,6,5,0,,,0,,
SWPA,2,9,9,0,,,0,,
WAPA,2,6,6,0,,,0,,
Total,181,546,600,247,228,432,0,0,0
