Component,Description,No. of Times Used,Total
OIG,N/A,0,0
OIG,Request referred to another DOT component,5,5
OIG,Referrals,2,3
OIG,Not a proper FOIA request for some other reason,1,3
OIG,Request Misdirected,2,4
OIG,Verification of Identity Not Provided,2,4
OIG,Defer to other Agency recommendation,1,6
OIG,Unable to locate requester,2,6
OIG,Records Publicly Available,1,6
OIG,Coordinated by Another Office,1,6
OIG,Nonresponsive to Requests for Additional Information,1,6
BIA,Request administratively closed,1,68
BIA,Assigned to other bureau/office for response,11,68
BIA,Requester failed to provide written consent of subject individual,17,68
BIA,Requester failed to provide requested clarification,39,68
BLM,Request administratively closed,1,4
BLM,Assigned to other bureau/office for response,1,4
BLM,Requester failed to provide requested clarification,2,4
BOR,Assigned to other bureau/office for response,2,5
BOR,Request administratively closed,2,5
BOR,Requester failed to provide requested clarification,1,5
FWS,Requester failed to provide requested clarification,16,133
FWS,Request administratively closed,4,133
FWS,Assigned to other bureau/office for response,113,133
NPS,Request administratively closed,7,21
NPS,Requester failed to provide requested clarification,14,21
OIG,N/A,0,0
OS,Assigned to other bureau/office for response,1,39
OS,Request administratively closed,37,39
OS,Requester failed to provide requested clarification,1,39
OSM,N/A,0,0
SOL,Assigned to other bureau/office for response,1,2
SOL,Request administratively closed,1,2
USGS,Assigned to other bureau/office for response,2,8
USGS,Requester failed to provide requested clarification,6,8
OIG,Records located were not responsive to the request.,2,2
SOL,SOL was consulted to review and provide advice only.  No processing required by SOL Staff.,1,1
OIG,Administratively Closed,5,22
OIG,Enjoined from Release by Court Order,2,22
OIG,Records on OIG Website,8,22
OIG,No Response from Requestor,7,22
OS,Administrative closure,215,215
OIG,0,0,0
OIG,No authorization to release records,4,6
OIG,Glomarization,2,6
BOEMRE,Requester failed to provide requested clarification,3,4
BOEMRE,Request administratively closed,1,4
OIG,Clarification and no longer interest,3,3
OIG,N/A,0,0
Total,0,551,1255
