Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
CBP,3,578,1417,111,51,29696,71,463,26967,21,29603,16,0,0,
CRCL,0,0,0,0,13,20,4,0,11,0,2,0,0,0,
FEMA,3,7,8,83,38,260,2,0,23,1,36,1,0,0,
FLETC,0,0,0,7,5,30,0,0,1,0,2,0,0,0,
I&A,5,0,24,3,8,30,0,0,13,1,22,1,0,0,
ICE,27,128,9273,102,9011,88951,427,370,88728,388,83691,1621,0,0,
NPPD,1,3,6,26,23,6876,107,1,6760,7,7441,23,0,0,
OIG,0,2,4,0,8,123,20,1,119,12,11,1,0,0,
PRIV,0,1,12,16,67,162,6,0,26,2,34,5,0,0,
S&T,0,0,5,12,13,27,0,0,1,0,12,6,0,0,
TSA,3,9,109,5,53,155,1,0,37,1,4,0,0,0,
USCG,1,1,11,17,52,160,60,0,87,3,10,1,0,0,
USCIS,0,93,1746,86,33561,52157,18,0,70186,0,72648,0,0,0,
USSS,2,0,113,5,28,282,43,1,280,29,310,50,0,0,
Total,45,822,12728,473,42931,178929,759,836,193239,465,193826,1725,0,0,
