Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
FAA,16,19,,1969,32,57,,1380,15,23,4,108,
FHWA,19,31,,553,29,63,1,716,12,13,3,21,
FMCSA,64,63,2,144,72,77,,367,,,,,
FRA,,,,,66,102,,685,49,73,,234,
FTA,21,35,,440,,,,,,,,,
MARAD,78,187.86,1,733,58,111.61,6,706,,,,,
NHTSA,21,44,,673,105,182,27,610,,,,,
OIG,109,93,,183,130,138,18,328,,,,,
OST,12,24,,304,52,140,2,866,,,,,
PHMSA,47,63,,442,139,162,,568,563,563,563,563,
RITA,10,15,6,34,65,65,65,65,0,,,,
SLSDC,18,20,11,40,,,,,,,,,
Total,17,28,0,1969,44,76,0,1380,13,38,0,563,
