Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
Archaeological Resources Protection Act (16 U.S.C. §470hh(a)),Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.,"Starkey v. U.S. Department of the Interior, 238 F. Supp. 2d 1188 (S.D. Cal 2002)",18,BLM,24
Archaeological Resources Protection Act (16 U.S.C. §470hh(a)),Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.,"Starkey v. U.S. Department of the Interior, 238 F. Supp. 2d 1188 (S.D. Cal 2002)",1,BOR,24
Archaeological Resources Protection Act (16 U.S.C. §470hh(a)),Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.,"Starkey v. U.S. Department of the Interior, 238 F. Supp. 2d 1188 (S.D. Cal 2002)",1,MMS,24
Archaeological Resources Protection Act (16 U.S.C. §470hh(a)),Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.,"Starkey v. U.S. Department of the Interior, 238 F. Supp. 2d 1188 (S.D. Cal 2002)",2,NPS,24
Archaeological Resources Protection Act (16 U.S.C. §470hh(a)),Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.,"Starkey v. U.S. Department of the Interior, 238 F. Supp. 2d 1188 (S.D. Cal 2002)",1,OSM,24
Archaeological Resources Protection Act (16 U.S.C. §470hh(a)),Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.Information describing historical and cultural resources and/or their specific locations.,"Starkey v. U.S. Department of the Interior, 238 F. Supp. 2d 1188 (S.D. Cal 2002)",1,SOL,24
Federal Cave Resources Protection Act (16 U.S.C. § 4301),Specific location of significant caves.,None,1,FWS,1
Federal Property and Administrative Services Act (41 U.S.C. § 253b(m)),Certain information in contractor proposals or the proposals of unsuccessful bidders.Certain information in contractor proposals or the proposals of unsuccessful bidders.Certain information in contractor proposals or the proposals of unsuccessful bidders.Certain information in contractor proposals or the proposals of unsuccessful bidders.,"Hornbostel v. U.S. Department of the Interior, 305 F. Supp. 2d 21 (D.D.C. 2003)",6,BLM,12
Federal Property and Administrative Services Act (41 U.S.C. § 253b(m)),Certain information in contractor proposals or the proposals of unsuccessful bidders.Certain information in contractor proposals or the proposals of unsuccessful bidders.Certain information in contractor proposals or the proposals of unsuccessful bidders.Certain information in contractor proposals or the proposals of unsuccessful bidders.,"Hornbostel v. U.S. Department of the Interior, 305 F. Supp. 2d 21 (D.D.C. 2003)",2,BOR,12
Federal Property and Administrative Services Act (41 U.S.C. § 253b(m)),Certain information in contractor proposals or the proposals of unsuccessful bidders.Certain information in contractor proposals or the proposals of unsuccessful bidders.Certain information in contractor proposals or the proposals of unsuccessful bidders.Certain information in contractor proposals or the proposals of unsuccessful bidders.,"Hornbostel v. U.S. Department of the Interior, 305 F. Supp. 2d 21 (D.D.C. 2003)",3,OIG,12
Federal Property and Administrative Services Act (41 U.S.C. § 253b(m)),Certain information in contractor proposals or the proposals of unsuccessful bidders.Certain information in contractor proposals or the proposals of unsuccessful bidders.Certain information in contractor proposals or the proposals of unsuccessful bidders.Certain information in contractor proposals or the proposals of unsuccessful bidders.,"Hornbostel v. U.S. Department of the Interior, 305 F. Supp. 2d 21 (D.D.C. 2003)",1,NPS,12
National Historic Preservation Act (16 U.S.C. § 470w-3),"Information concerning the location, character or ownership of an historic resource.Information concerning the location, character or ownership of an historic resource.Information concerning the location, character or ownership of an historic resource.",None,1,BIA,11
National Historic Preservation Act (16 U.S.C. § 470w-3),"Information concerning the location, character or ownership of an historic resource.Information concerning the location, character or ownership of an historic resource.Information concerning the location, character or ownership of an historic resource.",None,9,BLM,11
National Historic Preservation Act (16 U.S.C. § 470w-3),"Information concerning the location, character or ownership of an historic resource.Information concerning the location, character or ownership of an historic resource.Information concerning the location, character or ownership of an historic resource.",None,1,BOR,11
National Parks Omnibus Management Act (16 U.S.C. § 5937),"Information about the nature and location of a resource that is endangered, threatened, rare or commercially valuable; mineral or paleontological objects or objects of cultural patrimony in the National Park System.Information about the nature and location of a resource that is endangered, threatened, rare or commercially valuable; mineral or paleontological objects or objects of cultural patrimony in the National Park System.Information about the nature and location of a resource that is endangered, threatened, rare or commercially valuable; mineral or paleontological objects or objects of cultural patrimony in the National Park System.","Southwest Center for Biological Diversity v. USDA, 314 F.3d 1060, 1062 (9th Cir. 2002)",1,BLM,5
National Parks Omnibus Management Act (16 U.S.C. § 5937),"Information about the nature and location of a resource that is endangered, threatened, rare or commercially valuable; mineral or paleontological objects or objects of cultural patrimony in the National Park System.Information about the nature and location of a resource that is endangered, threatened, rare or commercially valuable; mineral or paleontological objects or objects of cultural patrimony in the National Park System.Information about the nature and location of a resource that is endangered, threatened, rare or commercially valuable; mineral or paleontological objects or objects of cultural patrimony in the National Park System.","Southwest Center for Biological Diversity v. USDA, 314 F.3d 1060, 1062 (9th Cir. 2002)",1,BOR,5
National Parks Omnibus Management Act (16 U.S.C. § 5937),"Information about the nature and location of a resource that is endangered, threatened, rare or commercially valuable; mineral or paleontological objects or objects of cultural patrimony in the National Park System.Information about the nature and location of a resource that is endangered, threatened, rare or commercially valuable; mineral or paleontological objects or objects of cultural patrimony in the National Park System.Information about the nature and location of a resource that is endangered, threatened, rare or commercially valuable; mineral or paleontological objects or objects of cultural patrimony in the National Park System.","Southwest Center for Biological Diversity v. USDA, 314 F.3d 1060, 1062 (9th Cir. 2002)",3,NPS,5
Procurement Integrity Act (41 U.S.C. § 423),Procurement information prior to the award of a contract.Procurement information prior to the award of a contract.,"Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at 3-4 (E.D. Cal. May 4, 2001) (dictum).",1,BLM,3
Procurement Integrity Act (41 U.S.C. § 423),Procurement information prior to the award of a contract.Procurement information prior to the award of a contract.,"Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at 3-4 (E.D. Cal. May 4, 2001) (dictum).",2,NPS,3
"Rule 6(e), Federal Rules of Criminal Procedure (Grand Jury) (18 U.S.C. § 385)","Information that would reveal identities of witnesses or jurors; testimony, strategy or direction of investigations; or juror deliberations/questions.Information that would reveal identities of witnesses or jurors; testimony, strategy or direction of investigations; or juror deliberations/questions.","McQueen v. United States, 179 F.R.D. 522, 528-30 (S.D. Tex. May 6, 1998)",4,FWS,7
"Rule 6(e), Federal Rules of Criminal Procedure (Grand Jury) (18 U.S.C. § 385)","Information that would reveal identities of witnesses or jurors; testimony, strategy or direction of investigations; or juror deliberations/questions.Information that would reveal identities of witnesses or jurors; testimony, strategy or direction of investigations; or juror deliberations/questions.","McQueen v. United States, 179 F.R.D. 522, 528-30 (S.D. Tex. May 6, 1998)",3,OIG,7
