Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days
BIS,1,34,34,0,0,0,0,0,0
Census,10,10,9,10,13,22,1,8,8
EDA,0,0,0,0,0,0,0,0,0
ESA,0,0,0,0,0,0,0,0,0
ITA,7,307,243,17,225,205,1,98,98
MBDA,0,0,0,1,59,59,0,0,0
NIST,48,47,172,0,0,0,0,0,0
NOAA,52,47,62,114,137,191,0,0,0
NTIA,7,10,8,8,268,252,0,0,0
NTIS,0,0,0,1,137,137,0,0,0
OIG,1,19,19,0,0,0,0,0,0
OS,3,4,7,34,50,73,0,0,0
PTO,22,11,10,0,0,0,0,0,0
Total,153,21,89,185,101,164,2,53,53
