Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
Admin,0,0,0,1,0,2,0,0,0,0,0,0,0,0,
BVA,0,0,0,0,1,3,0,0,0,0,0,0,0,0,
CFM,0,0,4,10,1,15,0,0,0,0,0,0,0,0,
GC,0,0,0,0,9,8,0,0,0,0,0,0,0,0,
IG,0,0,3,0,1,6,4,0,7,0,0,0,0,0,
Mgmt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
NCA,0,0,0,2,0,15,0,0,0,0,0,0,0,0,
OAL,0,0,8,47,3,40,0,0,0,0,0,0,0,0,
OF,0,0,0,7,0,6,0,0,0,0,0,0,0,0,
OIT,0,0,7,2,2,11,0,0,0,0,0,0,0,0,
ORM,0,0,0,0,0,4,1,0,6,0,0,0,0,0,
OSDBU,0,0,0,2,3,6,0,0,0,0,0,0,0,0,
OSP,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
P&P,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
SEC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
VBA,2,0,9,4,3,2552,0,0,5,0,0,0,0,0,
VHA,0,0,2316,169,136,6329,64,22,1583,14,10,5,0,0,
Total,2,0,2347,245,161,8999,69,22,1601,14,10,5,0,0,
