Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year,
AF,1035,6526,6439,1122,
AFRICOM,42,65,39,68,
ARMY,1993,31156,30743,2406,
ASBCA,0,13,12,1,
CENTCOM,201,260,295,166,
DCAA,3,81,82,2,
DCMA,46,222,230,38,
DeCA,0,146,144,2,
DFAS,13,247,253,7,
DHA,20,222,200,42,
DIA,836,832,932,736,
DISA,46,263,276,33,
DLA,47,3884,3809,122,
DoD IG,474,764,660,578,
DoDEA,6,46,49,3,
DSS,5,76,80,1,
DTIC,20,232,252,0,
DTRA,35,137,130,42,
EUCOM,35,91,92,34,
JPRA,1,9,10,0,
NAVY,2190,9961,9380,2771,
NGA,64,119,115,68,
NGB,57,116,95,78,
NORTHCOM,12,187,187,12,
NRO,58,167,147,78,
NSA,929,2990,2593,1326,
OSD/JS,1268,1575,1526,1317,
PACOM,84,75,118,41,
SOCOM,181,225,111,295,
SOUTHCOM,188,175,190,173,
STRATCOM,11,119,97,33,
TRANSCOM,38,74,35,77,
Total,9938,61055,59321,11672,
