Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
Office of the AG,131,190,4,827,624,612,258,881,558,465,41,843,
Office of the DAG,121,163,1,838,895,706,294,929,649,570,96,143,
Office of the Assoc. AG,,,464,464,,,850,850,,,136,136,
Antitrust,7,12,2,31,194,573,1,1871,,,,,
ATF,12,18,1,250,,,,,,,,,
BOP,4,17,,200,44,59,1,213,5,7,3,12,
Civil,16,24,1,298,,,,,,,,,
Civil Rights,3,10,,49,136,136,51,367,,,,,
COPS,3,3.7,1,14,,,,,,,,,
Criminal,25.5,45.2,1,207,50,86.2,,350,40,34,9,56,
DEA,,,,,78,130.97,2,1592,,83,12,154,
ENRD,40,44.07,10,112,201,192.67,61,316,,,,,
EOIR,22,28,1,377,29,34,6,355,25,28,3,68,
EOUSA,85,193.18,4,3290,,,,,125,323,39,1611,
EOUST,8.5,15.4,4,56,65,146.5,39,504,,,,,
FBI,89,110,1,1078,206,272,8,1141,54,96,1,593,
FCSC,9,13,1,41,,,,,,,,,
JMD,18,30.1,1,208,28,65.5,11,292,,,,,
NDIC,11,13,6,30,,,,,,,,,
NSD,41,60.6,4,275,289,299.6,239,371,,,,,
OFDT,17,19,2,64,20,26,4,239,15,23,8,46,
OIG,10,11,1,22,46,54,23,135,,,,,
OIP,15,75,1,567,,491,414,567,,,,,
OIPL,303,294,269,310,,,533,533,,,,,
OJP,13.5,16.49,1,104,63,65.52,11,205,,,,,
OLA,130,176,24,785,694,745,661,881,562,467,20,843,
OLC,20,32.8,1,119,78.5,123.3,42,665,,,12,12,
OLP,26,45,4,310,619,619,357,881,601,507,117,802,
OPR,46,59,5,191,326,309,68,704,,,,,
OSG,30,15,1,40,,,,,15,10,5,10,
OVW,14.5,17.5,1,45,,,,,,,,,
Pardon Attorney,8,15,1,67,,,36,36,,,92,92,
Public Affairs,153,131,4,269,566,605,654,594,,,202,202,
PRAO,15,11.7,1,19,,,,,,,,,
TAX,14,17,1,53,82,85,59,116,,,,,
USMS,18,26.9,1,321,64.5,118,14,141,9,8,3,15,
USNCB,2,4,,14,9,17,8,33,,,,,
USPC,4,10,1,299,226,206,1,505,,,,,
Total,18,39,0,3290,51,134,0,1871,39,142,1,1611,
