Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
BIA,842,251,31,139,3,26,27,14,7,15,6,22,1383
BLM,453,249,10,112,24,31,39,13,21,5,23,60,1040
BOEMRE,165,42,4,23,13,10,3,3,0,2,1,14,280
BOR,165,56,6,16,1,8,3,2,1,1,3,16,278
FWS,615,159,30,81,21,18,2,1,2,4,7,248,1188
NPS,450,220,39,57,11,10,25,1,5,1,3,13,835
OIG,7,69,10,19,1,40,0,1,0,5,2,0,154
OS,164,61,6,71,50,13,5,16,12,3,9,70,480
OSM,27,11,0,12,0,5,1,1,2,0,0,2,61
SOL,15,6,1,10,0,9,0,1,0,0,0,0,42
USGS,87,23,2,43,0,1,5,1,1,0,0,5,168
Total,2990,1147,139,583,124,171,110,54,51,36,54,450,5909
