Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
BVA,0,0,0,0,2,2,0,0,0,0,0,0,0,0,
CFM,0,0,1,15,2,25,0,0,1,0,0,0,0,0,
GC,0,2,0,0,9,9,0,0,0,0,0,0,0,0,
IG,0,7,4,1,8,117,4,0,27,0,2,0,0,0,
Mgmt,0,1,2,2,0,0,0,0,0,0,0,0,0,0,
NCA,0,0,0,5,0,91,0,0,0,0,0,0,0,0,
OAL,0,1,4,39,11,10,0,0,0,0,0,0,0,0,
OF,0,3,0,0,0,9,0,0,2,0,0,0,0,0,
OI&T,0,8,2,7,6,9,0,0,0,0,0,0,0,0,
ORM,0,0,0,0,0,9,0,0,5,0,0,0,0,0,
OSP,0,0,0,0,2,6,0,0,1,0,0,0,0,0,
P&P,0,0,0,1,1,1,0,0,0,0,0,0,0,0,
SEC,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
VBA,0,19,654,1,7,3173,3,1,18,0,2,2,0,0,
VHA,0,68,1847,146,109,6888,65,11,1311,6,7,18,0,0,
Total,0,109,2514,217,157,10351,72,12,1365,6,11,20,0,0,
