Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
A&MM (049),0,0,0,5,2,0,0,0,0,0,0,0,0,0,
OCFM (00CFM),0,1,0,3,0,3,0,0,0,0,0,0,0,0,
GC (02),0,2,4,0,7,12,1,0,0,0,0,0,0,0,
IG (50),0,3,6,0,5,89,16,0,24,0,2,0,0,0,
NCA (40),0,2,0,2,2,30,0,0,0,0,0,0,0,0,
OF (047),0,0,1,0,0,0,0,0,0,0,0,0,0,0,
OI&T (005),0,2,0,1,1,2,0,0,0,0,0,0,0,0,
ORM (08),0,0,0,0,0,2,0,0,0,0,0,0,0,0,
S&LE (07),0,0,0,0,0,2,1,0,3,0,0,0,0,0,
SEC (00),0,0,0,0,1,1,0,0,0,0,0,0,0,0,
VBA (20),0,20,750,0,45,150,0,0,0,0,1,0,0,0,
VHA (10),0,70,3526,68,154,8645,189,27,611,26,15,7,0,0,
Total,0,100,4287,79,217,8936,207,27,638,26,18,7,0,0,
