Component,Number of Appeals Pending as of Start of Fiscal Year,Number of Appeals Received in Fiscal Year,Number of Appeals Processed in Fiscal Year,Number of Appeals Pending as of End of Fiscal Year,
AMS,9,6,3,12,
APHIS,95,20,20,95,
ASCR,0,1,1,0,
FAS,0,2,1,1,
FNCS,53,131,6,178,
FS,67,65,51,81,
FSA,7,18,22,3,
FSIS,6,12,12,6,
GIPSA,3,1,3,1,
NAD,0,0,0,0,
NRCS,0,11,8,3,
OBPA,0,0,0,0,
OCFO,1,0,0,1,
OGC,1,0,0,1,
OIG,1,7,6,2,
OSEC/OCIO/DM,6,6,4,8,
RD,16,19,29,6,
REE,0,2,2,0,
RMA,33,3,3,33,
Total,298,304,171,431,
