Component,Median Number of Days,Average Number of Days,Lowest Number of Days,Highest Number of Days,
ADJ BDS,124,124,124,124,
ALJ,102,102,102,102,
ASP,0,0,0,0,
BLS,125,125,20,230,
CFO,0,0,0,0,
EBSA,42,84.75,10,245,
ETA,33.5,95.27,1,701,
EXEC SEC,0,0,0,0,
ILAB,0,0,0,0,
MSHA,71.5,144.37,1,505,
OASAM,204,237,10,611,
OCIA,0,0,0,0,
ODEP,0,0,0,0,
OFCCP,99.5,113.5,9,246,
OIG,158,158,3,313,
OLMS,232,298.88,11,928,
OPA,0,0,0,0,
OSEC,0,0,0,0,
OSHA,83,145.88,1,1105,
OWCP,19,45.5,1,452,
SOL,0,0,0,0,
VETS,9,216.77,1,765,
WB,0,0,0,0,
WHD,86.5,104.4,1,317,
Total,34,86,1,1105,
