Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days
Office of the AG,91,114,153,23,422,418,15,150,291
Office of the DAG,58,173,215,15,455,444,11,219,353
Office of the Assoc. AG,12,97,96,1,19,19,1,81,81
Antitrust,2,16.5,16.5,31,215,354.8,0,,
ATF,125,25,62,0,,,1,89,89
BOP,930,20,25,297,55,71,7,11,10
Civil,55,47,86,0,,,1,104,104
Civil Rights,20,29,18,63,151,188,0,,
COPS,0,,,0,,,0,,
Criminal,6,54,73.1,109,62,101.2,0,,
CRS,0,,,0,,,0,,
DEA,0,,,502,109.3,253.2,0,,
ENRD,16,25,42.6,1,186,186,0,,
EOIR,856,16,29,0,,,6,2,12
EOUSA,1434,159,396.2,0,,,16,42.5,233.5
EOUST,0,,,10,56,195.3,0,,
FBI,1217,72,104,720,208,256,8,58,128
FCSC,0,,,0,,,0,,
JMD,27,15,38.6,40,83,113.3,0,,
NDIC,10,16,40,0,,,0,,
NSD,83,125,156.5,58,229,240,7,220,210
ODR,0,,,0,,,0,,
OFDT,2,101,101,0,,,1,4,4
OIG,0,,,10,253,313,0,,
OIP,15,29,65,1,81,81,0,,
OIPL,8,105,105,0,,,0,,
OJP,7,9,10,45,41,152.24,0,,
OLA,80,72,113,25,68,161,2,94,94
OLC,14,126,225.2,30,124.5,230.8,0,,
OLP,12,128,133,4,69,79,0,,
OPR,6,4.5,4,10,304,250,0,,
OSG,0,,,0,,,0,,
OVW,0,,,0,,,0,,
Pardon Attorney,0,,,0,,,0,,
Public Affairs,9,124,122,1,19,19,0,,
PRAO,0,,,0,,,0,,
TAX,0,,,6,49,42,0,,
USMS,29,19,33.6,3,19,81.6,0,,
USNCB,24,22,37,3,52,42,0,,
USPC,25,14,28,64,87,108,0,,
Total,5173,47,158,2072,134,208,76,81,200
