Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
BEP,5,7.5,1,20,5,11,1,20,5,4.5,1,6,
BPD,0,0,0,0,4,6.2,1,26,0,0,0,0,
DO,0,0,0,0,71,52,0,321,0,0,0,0,
FinCEN,3,6,1,52,11,15,1,119,0,0,0,0,
FMS,0,0,0,0,0,0,0,0,0,0,0,0,
IRS,0,0,0,0,15,24,0,1774,4,4,3,5,
MINT,0,0,0,0,11,13.3,1,60,0,0,0,0,
OCC,5,10,1,20,10,15,1,20,0,0,0,0,
OTS,0,0,0,0,7,36,0,893,0,0,0,0,
TIGTA,18,17,1,67,20,22,7,59,0,0,0,0,
TTB,9,11,0,28,16,29,1,114,12,18,12,0,
Total,41,54,6,197,181,231,24,3004,9,10,8,10,
