Component,Number of 'Full Time FOIA Employees',Number of 'Equivalent Full-Time FOIA Employees',Total Number of 'Full-Time FOIA Staff',
Admin,0,0.1,0.1,
BVA,0,0.35,0.35,
C&LA,0,0.01,0.01,
CFM,0,0.5,0.5,
GC,0,5.07,5.07,
HRM,0,0.5,0.5,
IG,0,2,2,
Mgmt,0,0.01,0.01,
NCA,0,3,3,
OAL,3,1,4,
OASHRA,0,0.1,0.1,
OASP&IA,0,0.05,0.05,
ODASB,0,0.01,0.01,
ODASIA,0,0.01,0.01,
ODI,0,0.1,0.1,
OF,0,0.6,0.6,
OIT,7,0.795,7.795,
ORM,0,0.1,0.1,
OSDBU,0,0.3,0.3,
OSP,0,0.4,0.4,
P&P,0,1,1,
PA,0,0.03,0.03,
SEC,0,0.25,0.25,
VBA,38,64,102,
VHA,4,107.49,111.49,
Total,52,188,240,
