Component,Description,No. of Times Used,Total
OIG,N/A,0,0
OIG,N/A,0,0
OIG,Transferred within DOT,3,3
HQ,N/A,0,0
IG,N/A,0,0
OIG,N/A,0,0
OIG,Verification of Identity Not Provided,7,8
OIG,Requester Address Not Provided Upon Request,1,8
IG,N/A,0,0
OIG,Unable to locate requester,2,2
OIG,Not applicable.,0,0
OIG,Records located were not responsive to the request,3,3
HQ,File Review,1,8
HQ,Litigation,7,8
HQ,Other,0,8
OIG,No response to still interested letter.,18,20
OIG,Administrative Closures,2,20
OIG,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
OIG,Glomarization,13,20
OIG,No authorization to release records,7,20
HQ,N/A,0,0
R01,N/A,0,0
R02,N/A,0,0
R03,N/A,0,0
R04,N/A,0,0
R05,N/A,0,0
R06,N/A,0,0
R07,N/A,0,0
R08,N/A,0,0
R09,N/A,0,0
R0X,N/A,0,0
OIG,N/A,0,0
HQ,N/A,0,0
HQ,N/A,0,0
Total,0,64,128
