Component,Description,No. of Times Used,Total
OIG,N/A,0,0
OIG,N/A,0,0
OIG,Transferred within DOT,3,3
OGC,N/A,0,0
OIG,N/A,0,0
OIG,Requester Address Not Provided Upon Request,1,8
OIG,Verification of Identity Not Provided,7,8
OIG,Unable to locate requester,2,2
OGC,N/A,0,0
OIG,Not applicable.,0,0
OIG,Records located were not responsive to the request,3,3
OIG,Administrative Closures,2,20
OIG,No response to still interested letter.,18,20
OGC,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
APHIS,N/A,0,0
FNCS,N/A,0,0
OIG,No authorization to release records,7,20
OIG,Glomarization,13,20
FSA,Glomrization,4,25
FSA,Requester failed to provide adequate mailing address,1,25
FSA,Closed due to litigation,2,25
FSA,Records not available in format requested,7,25
FSA,Requester referred to public website,11,25
OCFO,N/A,0,0
DM,N/A,0,0
NRCS,N/A,0,0
AMS,N/A,0,0
OGC,Requests relate to litigation; administratively closed,2,3
OGC,Records referred from another agency but were non-responsive,1,3
RD,N/A,0,0
REE,not a proper FOIA request,2,2
RMA,N/A,0,0
FAS,N/A,0,0
OBPA,N/A,0,0
GIPSA,Administratively Closed,3,5
GIPSA,not a proper FOIA request,2,5
FS,No response from the requester,17,17
ASCR,N/A,0,0
FSIS,No authorization to release records,7,7
NAD,N/A,0,0
OIG,N/A,0,0
OGC,N/A,0,0
OGC,N/A,0,0
OSEC,Requester referral to public website for information,1,1
OSEC/OCIO,N/A,0,0
Total,0,116,272
