Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
FSA,Date of Receipt,2013-05-08,2013-04-30,2013-04-22,2013-04-17,2013-03-14,2013-03-14,2013-02-27,2013-01-16,2012-09-25,2012-08-06
FSA,Number of Days Pending,99,104,110,114,137,137,150,177,253,288
IES,Date of Receipt,,,,,2013-09-24,2013-09-18,2013-09-12,2013-09-12,2013-09-09,2013-07-29
IES,Number of Days Pending,,,,,4,8,12,12,15,41
OCFO-CAM,Date of Receipt,,,,,2013-09-23,2013-09-20,2013-07-18,2013-05-31,2013-04-23,2013-04-10
OCFO-CAM,Number of Days Pending,,,,,5,6,50,82,109,120
OCIO,Date of Receipt,,,,,,,,,,2013-07-29
OCIO,Number of Days Pending,,,,,,,,,,40
OCO,Date of Receipt,,,,,,,,,,2013-07-03
OCO,Number of Days Pending,,,,,,,,,,56
OCR,Date of Receipt,2013-09-09,2013-08-28,2013-08-09,2013-07-03,2013-06-25,2013-04-25,2013-04-19,2012-12-10,2012-01-05,2011-03-18
OCR,Number of Days Pending,15,21,34,58,65,108,112,201,437,681
OCR-1 Boston,Date of Receipt,,,,,2013-09-25,2013-09-25,2013-09-17,2013-09-13,2013-09-10,2013-08-23
OCR-1 Boston,Number of Days Pending,,,,,3,3,9,11,14,44
OCR-2 New York,Date of Receipt,2013-03-29,2013-03-25,2013-01-30,2012-10-24,2012-09-25,2012-06-11,2012-04-12,2012-03-27,2012-03-21,2011-12-07
OCR-2 New York,Number of Days Pending,127,131,168,234,252,328,369,372,384,404
OCR-3 Philadelphia,Date of Receipt,,,,,2013-09-30,2013-09-25,2013-09-12,2013-09-12,2013-09-10,2011-11-04
OCR-3 Philadelphia,Number of Days Pending,,,,,0,3,12,12,14,477
OCR-4 Atlanta,Date of Receipt,2013-06-18,2013-06-17,2013-06-14,2013-05-23,2013-04-29,2013-04-26,2013-02-28,2013-02-25,2013-02-08,2012-05-31
OCR-4 Atlanta,Number of Days Pending,72,73,74,88,104,107,148,151,162,291
OCR-5 Chicago,Date of Receipt,,,,,2013-09-23,2013-09-20,2013-09-18,2013-09-17,2013-09-06,2013-08-12
OCR-5 Chicago,Number of Days Pending,,,,,4,6,8,9,16,34
OCR-6 Dallas,Date of Receipt,,,,2013-09-27,2013-09-24,2013-09-18,2013-09-16,2013-09-16,2013-09-04,2013-08-26
OCR-6 Dallas,Number of Days Pending,,,,1,4,8,10,10,18,24
OCR-7 Kansas City,Date of Receipt,2013-08-02,2013-07-23,2013-07-09,2013-07-09,2013-07-02,2013-05-15,2013-04-24,2013-02-19,2012-12-17,2012-07-19
OCR-7 Kansas City,Number of Days Pending,40,48,58,58,62,95,109,153,195,301
OCR-8 Denver,Date of Receipt,,,,,,,,,,2013-08-29
OCR-8 Denver,Number of Days Pending,,,,,,,,,,21
OCR-9 San Francisco,Date of Receipt,,,,,,,,2013-09-18,2013-09-10,2013-08-21
OCR-9 San Francisco,Number of Days Pending,,,,,,,,8,14,27
OCR-10 Seattle,Date of Receipt,,,,,,,,,2013-09-30,2013-09-23
OCR-10 Seattle,Number of Days Pending,,,,,,,,,0,5
OCR-12 Cleveland,Date of Receipt,,,,,,,2013-09-27,2013-08-19,2013-08-15,2013-07-10
OCR-12 Cleveland,Number of Days Pending,,,,,,,1,28,31,50
OCR-Metro D.C.,Date of Receipt,2013-09-17,2013-09-11,2013-08-12,2013-08-02,2013-07-25,2013-07-18,2013-07-02,2013-06-14,2013-01-17,2012-04-06
OCR-Metro D.C.,Number of Days Pending,9,13,33,40,46,51,62,74,171,373
ODS,Date of Receipt,,,,,,,2013-08-27,2013-06-25,2013-04-23,2013-04-05
ODS,Number of Days Pending,,,,,,,23,65,110,122
OESE,Date of Receipt,,,,,,,,,,2013-09-24
OESE,Number of Days Pending,,,,,,,,,,4
OGC,Date of Receipt,,,,,,,,,,2013-08-23
OGC,Number of Days Pending,,,,,,,,,,26
OIG,Date of Receipt,,,,,,,,2013-09-24,2013-08-06,2013-07-03
OIG,Number of Days Pending,,,,,,,,4,36,59
OII,Date of Receipt,,,,,,,,,,2013-09-19
OII,Number of Days Pending,,,,,,,,,,7
OLCA,Date of Receipt,,,,,,,,,2013-07-22,2013-06-19
OLCA,Number of Days Pending,,,,,,,,,48,69
OM,Date of Receipt,,,,,,,2013-09-23,2013-09-17,2013-09-12,2013-08-23
OM,Number of Days Pending,,,,,,,5,9,12,25
OM-PIRMS,Date of Receipt,2013-07-03,2013-05-20,2013-05-01,2013-02-26,2011-11-08,2011-11-02,2011-08-11,2010-10-18,2010-07-06,2009-07-24
OM-PIRMS,Number of Days Pending,61,89,103,149,475,480,536,734,852,1073
OPE,Date of Receipt,2013-09-20,2013-09-18,2013-09-05,2013-08-08,2013-07-22,2013-07-16,2013-07-03,2013-06-05,2013-05-28,2013-05-20
OPE,Number of Days Pending,6,8,17,35,48,52,59,80,82,89
OPEPD,Date of Receipt,,,,,,,,,,2013-01-07
OPEPD,Number of Days Pending,,,,,,,,,,186
OS,Date of Receipt,2013-03-05,2012-08-07,2012-06-14,2012-06-08,2012-06-06,2012-05-17,2012-04-05,2012-03-26,2011-12-09,2011-11-02
OS,Number of Days Pending,142,287,323,327,329,341,374,380,454,480
OUS,Date of Receipt,,,,,,,,,,2013-04-25
OUS,Number of Days Pending,,,,,,,,,,109
