Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,
CBP,474,4.29,29.94,7,15.71,86.57,0,0,0,
CRCL,1,33,33,10,306,295,0,0,0,
FEMA,342,88,153.58,524,273,302.92,10,350,449.5,
FLETC,36,48,47.69,0,0,0,0,0,0,
I&A,2,17,17,6,18,22.83,0,0,0,
ICE,44,6,8.91,34,8.5,22.88,0,0,0,
MGMT,0,0,0,10,10,18.5,0,0,0,
NPPD,4,37.5,61,10,64.5,64.6,0,0,0,
OGC,9,86,93.78,8,206,253.13,0,0,0,
OIG,0,0,0,9,49,96.44,0,0,0,
OPS,0,0,0,0,0,0,0,0,0,
PLCY,4,44,44.25,19,243,79.7,0,0,0,
PRIV,23,7,7.83,71,109,124.17,0,0,0,
S&T,2,31,31,0,0,0,0,0,0,
TSA,16,91,147.81,254,127,195.81,0,0,0,
US-VISIT,0,0,0,1,64,64,0,0,0,
USCG,335,42,67.22,47,45,78.85,3,11,11.67,
USCIS,4094,83,103.9,15334,,94.62,5,62,79,
USSS,84,21,26.88,411,621,715.08,0,0,0,
Total,5470,72,96,18268,91,116,18,267,336,
