Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,Number Adjudicated within 10 Calendar Days,
AMS,0,0,N/A,N/A,N/A,
APHIS,1,6,1,5.86,5,
ASCR,0,0,N/A,N/A,N/A,
FAS,0,0,N/A,N/A,N/A,
FNCS,0,1,1,1,1,
FS,6,4,3,11.7,9,
FSA,0,1,5,5,1,
FSIS,0,0,N/A,N/A,N/A,
GIPSA,0,0,N/A,N/A,N/A,
NAD,0,0,N/A,N/A,N/A,
NRCS,0,0,N/A,N/A,N/A,
OBPA,0,0,N/A,N/A,N/A,
OCFO,0,0,N/A,N/A,N/A,
OGC,0,0,N/A,N/A,N/A,
OIG,0,1,233,233,0,
OSEC/OCIO/DM,0,16,1,3,16,
RD,2,3,1,6.6,3,
REE,0,0,N/A,N/A,N/A,
RMA,0,0,N/A,N/A,N/A,
Total,9,32,N/A,N/A,35,
