Component,Number of Backlogged Requests as of End of Fiscal Year from Previous Annual Report,Nnumber of Backlogged Requests as of End of Fiscal Year from Current Annual Report,
Office of the AG,90,121,
Office of the DAG,61,81,
Office of the Assoc. AG,9,12,
Antitrust,27,29,
ATF,29,45,
BOP,401,381,
Civil,10,20,
Civil Rights,48,78,
COPS,0,0,
Criminal,231,111,
CRS,0,0,
DEA,768,439,
ENRD,9,11,
EOIR,176,183,
EOUSA,1160,1162,
EOUST,26,7,
FBI,1001,1758,
FCSC,0,0,
JMD,23,43,
NDIC,0,4,
NSD,49,136,
ODR,0,0,
OFDT,2,2,
OIG,13,10,
OIP,14,9,
OIPL,3,7,
OJP,22,28,
OLA,36,107,
OLC,17,41,
OLP,16,15,
OPR,11,11,
OSG,0,0,
OVW,0,0,
Pardon Attorney,8,0,
Public Affairs,7,9,
PRAO,0,0,
TAX,1,4,
USMS,3,15,
USNCB,0,14,
USPC,93,63,
Total,4364,4956,
