Component,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS PROCESSED,NUMBER OF APPEALS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
AMS,14,10,11,8,
APHIS,25,36,19,31,
ASCR,0,0,0,0,
FAS,1,2,1,2,
FNCS,34,47,42,6,
FS,79,71,67,50,
FSA,26,22,25,16,
FSIS,9,18,6,16,
GIPSA,1,3,2,1,
NAD,0,0,0,0,
NRCS,7,4,2,9,
OBPA,0,0,0,0,
OCFO,0,0,1,0,
OGC,2,2,1,2,
OIG,11,8,15,8,
OSEC/OCIO/DM,4,8,1,10,
RD,5,8,0,10,
REE,2,0,3,0,
RMA,9,3,0,0,
Total,229,242,196,169,
