Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Appeal
DO,Date of Receipt,2010-04-06,2010-03-16,2010-03-16,2010-02-23,2010-02-02,2009-11-17,2009-11-09,2009-11-05,2009-04-29,2008-10-29
DO,Number of Days Pending,1379,1394,1394,1409,1423,1474,1479,1481,1613,1737
FinCEN,Date of Receipt,,,,,,,,,,2015-09-30
FinCEN,Number of Days Pending,,,,,,,,,,45
IRS,Date of Receipt,,,,,,2015-09-28,2015-09-22,2015-09-22,2015-09-21,2015-09-08
IRS,Number of Days Pending,,,,,,2,6,6,7,16
OCC,Date of Receipt,,,,,,,,,,2011-01-19
OCC,Number of Days Pending,,,,,,,,,,1181
TIGTA,Date of Receipt,,,,,,,,,2015-09-22,2015-09-15
TIGTA,Number of Days Pending,,,,,,,,,6,11
TTB,Date of Receipt,,,,,,,2013-10-31,2012-05-27,2008-02-06,2004-10-19
TTB,Number of Days Pending,,,,,,,481,840,1922,2771
Fiscal Service,Date of Receipt,,,,,,,,2015-09-18,2013-01-17,2012-12-28
Fiscal Service,Number of Days Pending,,,,,,,,9,680,693
