Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
HQ,0,2,2,0,
OIG,0,0,0,0,
R01,0,0,0,0,
R02,0,0,0,0,
R03,0,0,0,0,
R04,1,6,7,0,
R05,0,0,0,0,
R06,0,0,0,0,
R07,0,0,0,0,
R08,0,0,0,0,
R09,0,0,0,0,
R0X,0,0,0,0,
Total,1,8,9,0,
