Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
FAA,0,15,43,90,357,637,65,0,15,1,14,1,0,0,
FHWA,0,0,1,27,42,24,1,0,2,0,0,0,0,0,
FMCSA,0,1,176,26,0,786,4,0,523,139,1,0,0,0,
FRA,0,0,0,11,12,63,14,0,51,0,0,0,0,0,
FTA,0,0,0,14,15,64,0,0,0,0,0,0,0,0,
MARAD,0,0,0,13,42,24,0,0,0,0,0,0,0,0,
NHTSA,0,0,5,20,16,61,0,0,0,0,0,0,0,0,
OIG,0,0,0,1,1,1,1,0,1,1,1,0,0,0,
OST,0,0,2,24,29,84,1,0,0,0,0,0,0,0,
PHMSA,0,0,3,1,5,16,1,0,1,0,0,15,0,0,
SLSDC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Total,0,16,230,228,519,1760,87,0,593,141,16,16,0,0,
