Component,Number of Backlogged Requests as of End of Fiscal Year from Previous Annual Report,Nnumber of Backlogged Requests as of End of Fiscal Year from Current Annual Report,
ADJ BDS,0,0,
ALJ,3,1,
ASP,0,0,
BLS,0,2,
CFO,0,0,
EBSA,11,35,
ESA - OFCCP,14,9,
ESA - OLMS,0,3,
ESA - OMAP,2,0,
ESA - OWCP,0,0,
ESA - WHD,84,166,
ETA,37,37,
ILAB,1,0,
JOB CORP,0,0,
MSHA,29,41,
OASAM,12,57,
OCIA,0,0,
ODEP,0,0,
OIG,0,9,
OPA,0,0,
OSBP,2,0,
OSHA,216,249,
SOL,3,10,
VETS,2,0,
WB,0,0,
Total,416,619,
