Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
AF,Date of Receipt,2008-04-25,2008-04-23,2008-03-13,2007-12-18,2007-10-17,2007-10-05,2007-09-07,2007-04-11,2007-02-15,2006-07-26
AF,Number of Days Pending,610,612,641,698,740,747,767,871,909,1047
ARMY,Date of Receipt,2008-06-17,2008-06-17,2008-06-17,2008-06-17,2008-06-17,2008-06-16,2008-06-16,2008-05-06,2008-04-21,2007-04-10
ARMY,Number of Days Pending,574,574,574,574,574,575,575,603,614,872
CENTCOM,Date of Receipt,2009-10-08,2009-09-29,2009-09-23,2009-08-31,2009-07-09,2009-06-08,2009-04-15,2009-04-01,2009-03-12,2008-11-20
CENTCOM,Number of Days Pending,245,252,256,272,309,331,368,378,392,466
DFAS,Date of Receipt,,,,,,,,,,2010-09-29
DFAS,Number of Days Pending,,,,,,,,,,1
DIA,Date of Receipt,2004-08-26,2004-08-12,2004-03-15,2004-03-12,2002-12-10,2002-05-13,2002-03-12,2001-12-17,2000-12-18,1999-03-04
DIA,Number of Days Pending,1526,1536,1641,1642,1955,2100,2144,2200,2450,2901
DISA,Date of Receipt,,,,,,,,,,2010-09-20
DISA,Number of Days Pending,,,,,,,,,,8
DoDIG,Date of Receipt,,,,,,,,,,2010-06-28
DoDIG,Number of Days Pending,,,,,,,,,,66
EUCOM,Date of Receipt,,,,,,,,,2009-09-25,2008-08-19
EUCOM,Number of Days Pending,,,,,,,,,254,530
JFCOM,Date of Receipt,,,,,,,2010-09-30,2010-09-13,2010-09-13,2010-07-19
JFCOM,Number of Days Pending,,,,,,,1,13,13,52
NAVY,Date of Receipt,2010-09-10,2010-07-14,2010-06-04,2010-04-08,2010-02-08,2009-06-09,2009-04-03,2009-04-03,2009-03-20,2008-11-13
NAVY,Number of Days Pending,14,55,82,122,164,330,376,376,386,471
NGA,Date of Receipt,2009-09-28,2009-08-25,2009-08-10,2009-07-15,2009-07-07,2009-06-15,2009-05-24,2009-05-21,2009-01-22,2008-07-03
NGA,Number of Days Pending,253,276,287,305,311,326,340,342,426,462
NRO,Date of Receipt,,,2010-09-29,2010-09-17,2010-08-12,2010-06-29,2010-04-30,2009-11-09,2009-10-28,2009-07-31
NRO,Number of Days Pending,,,1,9,34,65,106,224,232,293
NSA,Date of Receipt,2009-07-30,2009-07-28,2009-07-28,2009-07-28,2009-07-10,2009-03-24,2009-03-11,2008-09-12,2008-08-22,2005-12-15
NSA,Number of Days Pending,294,296,296,296,308,384,393,513,527,1200
OSD/JS,Date of Receipt,2000-01-28,2000-01-11,1999-11-19,1999-11-05,1999-10-26,1999-07-29,1999-07-15,1998-08-14,1998-07-01,1994-01-27
OSD/JS,Number of Days Pending,2674,2686,2720,2729,2737,2798,2808,3037,3068,4178
PACOM,Date of Receipt,,,,,,,2010-03-23,2009-08-27,2009-08-03,2009-01-20
PACOM,Number of Days Pending,,,,,,,134,274,292,427
SOCOM,Date of Receipt,2009-03-29,2009-01-22,2008-10-20,2007-12-06,2007-08-27,2007-06-22,2007-06-22,2007-02-12,2007-02-09,2006-01-23
SOCOM,Number of Days Pending,400,426,488,706,775,820,820,912,913,1176
SOUTHCOM,Date of Receipt,2010-01-25,2010-01-25,2010-01-25,2009-07-30,2009-06-01,2008-11-21,2008-10-30,2008-10-30,2008-06-11,2007-06-11
SOUTHCOM,Number of Days Pending,174,174,174,294,336,465,480,480,578,829
TRANSCOM,Date of Receipt,2008-11-13,2008-08-26,2006-06-16,2006-06-12,2004-11-03,2004-06-04,2004-05-19,2004-04-07,2002-12-11,2002-11-21
TRANSCOM,Number of Days Pending,471,525,1074,1078,1479,1580,1594,1624,1954,1967
TRICARE,Date of Receipt,,,,,,,,,,2010-06-16
TRICARE,Number of Days Pending,,,,,,,,,,74
