Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
BIS,117181,0,117181,2851.53,2.43%,
Census,289000,0,289000,465,0.16%,
EDA,3005.44,0,3005.44,1439.23,47.89%,
ESA,1500,0,1500,0,0.0%,
ITA,45349,45992.38,91341.38,1922,4.24%,
MBDA,15689.5,0,15689.5,0,0.0%,
NIST,84500,0,84500,24165.8,28.6%,
NOAA,216178,0,216178,49067.1,22.7%,
NTIA,175000,46275.88,221275.88,0,0.0%,
NTIS,10000,1000,11000,0,0.0%,
OIG,152004,0,152004,0,0.0%,
OS,313642.43,0,313642.43,243.36,0.08%,
PTO,250000,27541.48,277541.48,9816.77,3.93%,
Total,1673049,120810,1793859,89971,N/A,
